simulation_id,weight_opportunity,weight_infrastructure,weight_competitive_headroom,weight_data_confidence,minimum_opportunity,minimum_infrastructure,objective_value,portfolio_iso3
32,0.3341653827026635,0.32479670374876224,0.2998505445993124,0.041187368949261796,293.056251721013,262.76634820482354,371.44039878772463,BRA|CHN|IND|MEX|USA
33,0.22247387668534438,0.2729993278652081,0.19966695492939093,0.3048598405200566,283.99926233630964,255.7255864677354,372.43768678556,BRA|CHN|IND|MEX|USA
34,0.35226955311969527,0.23520610307917436,0.23480119221389623,0.1777231515872339,310.63638312734645,247.12561549740093,380.6553970956269,BRA|CHN|IND|MEX|USA
35,0.4512035639661132,0.22803399684864145,0.17174589612698715,0.14901654305825826,327.66571964508,243.6955219244889,393.0599256767504,BRA|CHN|IND|MEX|USA
36,0.31808281716429837,0.3083814942870594,0.26491548444403595,0.10862020410460624,272.8520191183271,233.63357342568867,373.4374860573765,BRA|CHN|IND|MEX|USA
37,0.40256647802582607,0.27532428068562553,0.23399147417248636,0.08811776711606206,313.0999878446522,264.61452364251517,383.1591927243478,BRA|CHN|IND|MEX|USA
38,0.2698405432426682,0.24195420504748982,0.20679206018733412,0.281413191522508,285.5053072691887,241.78074372710697,376.43119741205794,BRA|CHN|IND|MEX|USA
39,0.2819697824288126,0.3530159437719324,0.20546343910018094,0.15955083469907422,286.36546828907933,227.86599461898348,373.8268023653512,BRA|CHN|IND|MEX|USA
40,0.2327416078047033,0.27950505102890205,0.2645867480769562,0.22316659308943848,273.452096284461,257.27889055996184,368.0452909006432,BRA|CHN|IND|MEX|USA
41,0.28517552489958226,0.3186862828887591,0.23144919792911747,0.1646889942825412,270.95006437403924,258.3951568721723,373.20144733437013,BRA|CHN|IND|MEX|USA
42,0.2823230783146141,0.284614841130101,0.26118350147086133,0.1718785790844237,308.626916669866,271.3630614130438,371.83096550145615,BRA|CHN|IND|MEX|USA
43,0.2567702134288406,0.2865368136948158,0.20900326353955997,0.24768970933678372,301.5487449568759,238.9721031776279,373.8406733378753,BRA|CHN|IND|MEX|USA
44,0.3352530845347316,0.3605302584473467,0.22689728504469267,0.07731937197322895,316.38757762490354,240.06576234383508,375.91791154828826,BRA|CHN|IND|MEX|USA
45,0.26486825046233514,0.30226723702212427,0.25428009279090047,0.17858441972464004,322.6229423207828,262.8575041720925,370.4833639125578,BRA|CHN|IND|MEX|USA
46,0.22847499580162842,0.28518394375898093,0.31653588171599867,0.16980517872339204,314.62217075116115,247.08913717975148,363.699861264612,BRA|CHN|IND|RUS|USA
47,0.39564618352690584,0.2574802220461252,0.14991853382862422,0.19695506059834478,301.50694221806214,258.9274107517976,389.62842162202185,BRA|CHN|IND|MEX|USA
48,0.3400095195448946,0.31003944800286865,0.16494772349053258,0.18500330896170422,315.6908350139497,241.80431843903804,382.63219507411134,BRA|CHN|IND|MEX|USA
49,0.28216240034562945,0.31091193427067604,0.2713536834410598,0.1355719819426345,305.8499039607054,229.96936954153352,370.1897112820586,BRA|CHN|IND|MEX|USA
50,0.2991800545539651,0.27142329766211454,0.2834859605670245,0.14591068721689593,287.4789288007452,240.06530614643793,371.8159742899977,BRA|CHN|IND|MEX|USA
51,0.23997583345905402,0.22886681799859784,0.38348016772453275,0.1476771808178153,307.5606249552807,230.9752797080189,365.0746814014062,BRA|CHN|IND|RUS|USA
52,0.3440088435853249,0.3124208199468155,0.25124221793467133,0.09232811853318842,328.4563646147714,246.07828829990063,376.27864762835094,BRA|CHN|IND|MEX|USA
53,0.3712337596699761,0.36798252227904504,0.13860037199545425,0.12218334605552442,323.7387162789156,240.39116873471062,385.081872840511,BRA|CHN|IND|MEX|USA
54,0.3612173839380322,0.275940069474909,0.21166615458571184,0.15117639200134703,288.5402856262697,241.0734812199401,381.76058201146003,BRA|CHN|IND|MEX|USA
55,0.19473480806213522,0.40341260701324716,0.21705196782666067,0.18480061709795687,282.6235037537249,239.88284735994642,364.8097578427943,BRA|CHN|IND|MEX|USA
56,0.29698507278732666,0.3109266376622514,0.16224783040067786,0.22984045914974402,317.7451507425578,238.44556125123998,379.60491215511917,BRA|CHN|IND|MEX|USA
57,0.33272349373336946,0.275639183715423,0.2857783461888706,0.10585897636233685,294.8320342241013,265.6565151542923,374.00240565427987,BRA|CHN|IND|MEX|USA
58,0.24896764070528868,0.3013307119278432,0.31357071016496046,0.13613093720190758,320.7484744064824,269.72937354967706,364.8128175562997,BRA|CHN|IND|MEX|USA
59,0.36411324509290127,0.3539538376001692,0.1160600422040914,0.16587287510283813,282.6762181114223,261.8886265882111,386.72459306737215,BRA|CHN|IND|MEX|USA
60,0.290936207173053,0.2854795159674319,0.2698259235219586,0.15375835333755644,304.2244201935864,269.7029436417021,371.78592004370324,BRA|CHN|IND|MEX|USA
61,0.3094669429911595,0.31063566231390183,0.2366969635578155,0.1432004311371233,314.775106355701,249.14112499757167,374.87230931908056,BRA|CHN|IND|MEX|USA
