iso3,relevant_studies,active_trials,recent_trials,location_rows,geocoded_rows,unique_facilities,repeat_facilities,sponsor_diversity,active_sponsor_count,country_name,region,population_2023,year,obesity_prevalence_pct,obese_population_proxy,active_trials_per_10m_proxy,location_completeness,indicator_recency,evidence_depth,screen_pass,screen_exclusion_reason,opportunity_score,infrastructure_score,competitive_headroom_score,data_confidence_score,attractiveness_score,rank
ISR,7,4,5,70,70,45,16,2,1,Israel,"Middle East, North Africa, Afghanistan & Pakistan",9849000.0,2022.0,22.340062,2200272.70638,18.179564689419806,1.0,0.2,0.49111696633564683,True,PASSED,19.109025499270633,34.9476910724125,52.698368006357136,66.18909382174765,39.31997104635637,31
BEL,13,11,11,100,97,68,20,3,3,Belgium,Europe & Central Asia,11779946.0,2022.0,20.214818,2381294.64439828,46.19335967464684,0.97,0.2,0.6232855330280079,True,PASSED,20.659334386263158,43.911726346238,32.19684187096727,69.46499365598028,37.84027773588921,32
PRT,7,3,5,48,44,46,2,2,2,Portugal,Europe & Central Asia,10578174.0,2022.0,18.28673,1934402.1183102,15.508667880392183,0.9166666666666666,0.2,0.49111696633564683,True,PASSED,16.583780478275443,28.079001044680552,49.537122094076224,62.43909382174764,35.148979053668,33
SWE,4,1,2,20,20,20,0,2,1,Sweden,Europe & Central Asia,10536632.0,2022.0,16.977419,1788848.16312808,5.59018937779126,1.0,0.2,0.38011276067019645,True,PASSED,15.04987683481238,13.989416778688978,66.64063239209548,62.30394662345689,34.71753817559281,34
BGR,16,12,14,147,143,124,23,5,5,Bulgaria,Europe & Central Asia,6446596.0,2022.0,19.939533,1285421.13679668,93.35461862642521,0.9727891156462585,0.2,0.6691407835348502,True,PASSED,8.569544015936408,52.27302358642169,18.036361895801114,71.19543762780138,33.44117639882791,35
SVK,11,8,11,100,99,83,15,4,4,Slovak Republic,Europe & Central Asia,5426740.0,2022.0,25.13428,1363972.026472,58.65222925936764,0.99,0.2,0.5868786359270762,True,PASSED,9.732616592800136,44.37316627558758,26.322325657828326,69.09075225744768,33.17592911359055,36
AUT,7,6,6,49,48,31,9,3,3,Austria,Europe & Central Asia,9131761.0,2022.0,16.025788,1463436.65852668,40.99938295956397,0.9795918367346939,0.2,0.49111696633564683,True,PASSED,11.112791662082405,31.005854221143835,33.7186052237093,65.27072647480887,30.855854042116526,37
FIN,6,2,4,24,22,20,3,2,2,Finland,Europe & Central Asia,5583911.0,2022.0,23.241536,1297786.68527296,15.410853129374997,0.9166666666666666,0.2,0.4595798775827923,True,PASSED,8.757273359902177,21.766526679214373,49.61468197443002,61.335295715397734,30.761104862652125,38
NOR,4,1,3,18,16,14,4,1,1,Norway,Europe & Central Asia,5519601.0,2022.0,19.536772,1078351.86267972,9.273410976589641,0.8888888888888888,0.2,0.38011276067019645,True,PASSED,5.125257271418254,16.067032456452708,60.84613867847407,57.30394662345688,30.164813581498336,39
NZL,3,3,3,21,20,19,2,2,2,New Zealand,East Asia & Pacific,5200000.0,2022.0,33.289009,1731028.468,17.33073750928052,0.9523809523809523,0.2,0.32741131089043124,True,PASSED,14.40561512655402,16.626976705099224,48.170728959489594,58.316538738307955,30.099940600114564,40
SRB,2,1,1,10,10,8,2,1,1,Serbia,Europe & Central Asia,6623183.0,2022.0,21.160403,1401492.21422749,7.135251911129634,1.0,0.2,0.25946732503664494,True,PASSED,10.264722935351353,6.5303703520994,63.89169943771924,58.08135637628258,29.723656302107422,41
PRI,25,17,22,52,52,29,11,5,5,Puerto Rico (US),Latin America & Caribbean,3203794.0,2022.0,41.121516,1317448.66231704,129.03728612924886,1.0,0.2,0.7694885649390122,True,PASSED,9.052122185401714,40.42441122391962,13.850001885373675,75.93209977286544,29.695275460069634,42
DNK,21,12,18,85,84,58,18,5,4,Denmark,Europe & Central Asia,5946952.0,2022.0,13.962093,830318.96890536,144.52277316776275,0.9882352941176471,0.2,0.7300341760421377,True,PASSED,0.0,46.790787893063715,14.68312916973558,74.02178439676894,28.81128631986835,43
CHE,3,1,2,16,16,16,0,2,1,Switzerland,Europe & Central Asia,8888822.0,2022.0,11.026175,980097.0691585,10.203071016818654,1.0,0.2,0.32741131089043124,True,PASSED,3.2519089816649425,10.827278116984044,59.71551648048718,60.4593958811651,28.221544631891256,44
SGP,2,1,1,7,7,6,1,2,1,Singapore,East Asia & Pacific,5917648.0,2022.0,15.206718,899880.04359264,11.112592251825541,1.0,0.2,0.25946732503664494,True,PASSED,1.5775350682925227,4.506368284799043,58.696759706963086,58.08135637628258,25.211564389110627,45
