nct_id,condition_name
NCT00000519,Hypertension
NCT00000519,Myocardial Ischemia
NCT00000519,Obesity
NCT00656422,Diabetes
NCT00656422,Obesity
NCT05035095,Obesity
NCT05035095,Overweight
NCT02860923,Craniopharyngiomas
NCT02860923,Hypothalamic Obesity
NCT02635386,Polycystic Ovary Syndrome
NCT02635386,Obesity
NCT01652040,Spinal Cord Injury
NCT07738276,Heart Failure and Reduced Ejection Fraction
NCT07738276,Obesity & Overweight
NCT07738276,Tirzepatide
NCT01560676,Obesity
NCT01560676,Type 2 Diabetes
NCT04520256,Overweight and Obesity
NCT05194124,Bardet-Biedl Syndrome
NCT05194124,POMC Deficiency
NCT05882045,Obesity
NCT05882045,Cardiovascular Diseases
NCT00990457,Overweight
NCT00990457,Obese
NCT00990457,Sedentary
NCT00990457,Abdominal Obesity
NCT00324545,Coronary Artery Disease
NCT00324545,Obesity
NCT06896981,Polycystic Ovary Syndrome (PCOS) Women
NCT06896981,Obesity
NCT00261911,Obesity
NCT03611582,Overweight
NCT03611582,Obesity
NCT02956590,Dyslipidemia
NCT02956590,Obesity
NCT01043718,Obesity
NCT03196791,Gastric Cancer
NCT03196791,Obesity
NCT01047657,Asthma
NCT01047657,Obesity
NCT01047657,Weight Loss
NCT06499857,Overweight or Obesity
NCT06499857,Atrial Fibrillation
NCT00948402,Polycystic Ovarian Syndrome
NCT00948402,Insulin Sensitivity
NCT00284557,Obesity
NCT02823912,Dyslipidemia
NCT02823912,Overweight or Obesity
NCT06952530,Hypertension
NCT00131391,Obesity
NCT01934036,Obesity
NCT01934036,Overweight
NCT05564117,Overweight
NCT05564117,Obesity
NCT00859989,Breast Cancer
NCT00859989,Obesity
NCT00859989,Weight Changes
NCT07298915,Obesity & Overweight
NCT00355979,Obesity
NCT05965908,Polycystic Ovary
NCT07294950,Obesity (Disorder)
NCT07294950,Weight Change
NCT07294950,Blood Pressure Monitoring
NCT07294950,Appetite Regulation
NCT00522964,Overweight
NCT02145442,Overweight
NCT02145442,Obesity
NCT07528027,Hypertension With Overweight or Obesity
NCT00402584,Binge Eating Disorder
NCT00402584,Obesity
NCT01249872,Morbid Obesity
NCT01249872,Postoperative Pain
NCT01249872,Postoperative Bowel Function
NCT01249872,Postoperative Ambulation
NCT07357415,Obesity
NCT07357415,Overweight
NCT00907660,Obesity
NCT07219485,Prader-Willi Syndrome
NCT04971720,Obesity
NCT04971720,Cardiovascular Diseases
NCT04971720,Hypertension
NCT04971720,Nocturnal Blood Pressure
NCT04971720,Natriuretic Peptides
NCT04971720,Renin-Angiotensin-Aldosterone System
NCT00782262,Obesity
NCT00603291,Obesity
NCT00219115,Hypertension
NCT01208558,Abdominal Obesity
NCT01208558,Cardiovascular Diseases
NCT01208558,Diabetes Type 2
NCT01208558,Hypertension
NCT01208558,Overweight
NCT05726227,Obesity
NCT01015976,Obesity
NCT01677923,Obesity
NCT00826774,Obesity
NCT00826774,Hypercholesterolemia
NCT00826774,Metabolic Syndrome
NCT00826774,Hypertension
NCT00826774,Diabetes
NCT05952882,Polycystic Ovary Syndrome
NCT05952882,Obesity
NCT05952882,"Infertility, Female"
NCT00504673,Diabetes
NCT00504673,"Diabetes Mellitus, Type 2"
NCT01530724,Obesity
NCT00440180,Obesity
NCT00440180,Oligospermia
NCT04916470,"Heart Failure With Preserved Ejection Fraction (HFpEF) and Diabetes Mellitus, Type 2"
NCT04274608,Obesity
NCT04274608,Weight Loss
NCT03516968,"Obesity, Childhood"
NCT00231660,Obesity
NCT00231660,"Diabetes Mellitus, Type 2"
NCT00231660,"Diabetes Mellitus, Adult-Onset"
NCT06738979,Obesity
NCT01601574,Type 2 Diabetes
NCT01601574,Overweight
NCT01601574,Obesity
NCT01387126,Obesity
NCT00040287,Smoking
NCT00040287,Obesity
NCT04717726,Obesity
NCT06780449,Obesity
NCT01755676,Obesity
NCT03440814,Prader-Willi Syndrome
NCT03574597,Overweight
NCT03574597,Obesity
NCT03516188,Gastroesophageal Reflux Disease
NCT03516188,Acid Reflux
NCT03516188,Obesity
NCT00032760,Binge Eating Disorder
NCT00032760,Obesity
NCT02564627,Weight Loss
NCT04662801,"Obesity, Overweight"
NCT06075667,Obesity
NCT06075667,Overweight
NCT00073242,Obesity
NCT00185770,Obesity
NCT00185770,Cardiovascular Diseases
NCT01667783,Obesity
NCT01667783,Type 2 Diabetes
NCT00284167,Obesity
NCT00456521,Obesity
NCT00456521,Overweight
NCT06366464,Prader-Willi Syndrome
NCT07668401,Obesity
NCT07668401,Overweight
NCT00528164,Obesity
NCT03085394,Intra-Operative Injury - Other
NCT03085394,Post Operative Hemorrhage
NCT03085394,Tranexamic Acid
NCT05819853,PCOS (Polycystic Ovary Syndrome) of Bilateral Ovaries
NCT05819853,Obese
NCT03693430,Overweight
NCT03693430,Obesity
NCT07469800,Overweight
NCT07469800,Obesity
NCT07469800,Hypertensive
NCT01272219,Metabolism and Nutrition Disorder
NCT01272219,Obesity
NCT03961360,Pre-Eclampsia
NCT03961360,Hypertension in Pregnancy
NCT03961360,Obesity
NCT07351058,Obesity or Overweight
NCT07351058,Type 2 Diabetes Mellitus
NCT05935826,Hepatic Steatosis
NCT05935826,NAFLD
NCT05935826,Adolescent Obesity
NCT00696228,Obesity
NCT07493057,Obstructive Sleep Apnea (OSA)
NCT00687739,Obesity
NCT06948422,Hypertension
NCT07667803,Weight Management
NCT07709910,Participants With Obesity and Knee Osteoarthritis
NCT07622810,Obesity & Overweight
NCT00454610,Overweight
NCT00454610,Obesity
NCT05488288,Ventral Hernia
NCT03414762,Cesarean Section Complications
NCT03414762,Cesarean Wound; Dehiscence
NCT03414762,Cesarean Wound Disruption
NCT00941382,Obesity
NCT01872182,Abdominal Obesity Metabolic Syndrome
NCT01766791,Sarcopenia
NCT01766791,Obesity
NCT07021937,Obesity/Therapy
NCT00236639,Obesity
NCT06496100,Obesity
NCT06496100,Leptin Deficiency
NCT06496100,Ghrelin
NCT06496100,Adiponectin
NCT01279499,Morbid Obesity
NCT00289705,Obesity
NCT00289705,Diabetes
NCT00289705,Hypertension
NCT05316467,Endometrial Carcinoma
NCT05316467,Obese
NCT05316467,Overweight
NCT05316467,Fertility Issues
NCT06987695,Obesity Disease
NCT03968224,PreDiabetes
NCT03968224,"Obesity, Morbid"
NCT03968224,"Diabetes Mellitus, Type 2"
NCT00532779,Obesity
NCT00532779,Overweight
NCT07220759,Overweight
NCT07220759,Obesity
NCT07220759,Type 2 Diabetes
NCT00092859,Obesity
NCT03650582,Obesity
NCT00994513,Obesity
NCT00994513,Cardiovascular Disease
NCT00994513,Type 2 Diabetes
NCT02857660,Sarcopenic Obesity
NCT06728124,Obesity/Overweight
NCT01812694,Obesity
NCT01812694,Diet Therapy
NCT01812694,Diabetes Type 2
NCT00458081,Obesity
NCT00458081,Microalbuminuria
NCT00458081,"Diabetes Mellitus, Type 2"
NCT00458081,Dyslipidemia
NCT07571005,Obesity
NCT07571005,Overweight
NCT07571005,Obstructive Sleep Apnoea
NCT06439277,Obesity
