nct_id,sponsor_role,sponsor_name,sponsor_class
NCT06884293,LEAD,Innovent Biologics (Suzhou) Co. Ltd.,INDUSTRY
NCT00029848,LEAD,Sanofi,INDUSTRY
NCT00645255,LEAD,Abbott,INDUSTRY
NCT01868347,LEAD,"University of Turin, Italy",OTHER
NCT07253285,LEAD,Novo Nordisk A/S,INDUSTRY
NCT00603109,LEAD,Weill Medical College of Cornell University,OTHER
NCT00603109,COLLABORATOR,National Institutes of Health (NIH),NIH
NCT00603109,COLLABORATOR,PWSAUSA,UNKNOWN
NCT00871416,LEAD,Novo Nordisk A/S,INDUSTRY
NCT01724099,LEAD,Kyunghee University Medical Center,OTHER
NCT01724099,COLLABORATOR,Korea Health Industry Development Institute,OTHER_GOV
NCT01724099,COLLABORATOR,Gachon University Gil Medical Center,OTHER
NCT02338193,LEAD,Woman's,OTHER
NCT02338193,COLLABORATOR,AstraZeneca,INDUSTRY
NCT05412004,LEAD,Eli Lilly and Company,INDUSTRY
NCT06149793,LEAD,University of Minnesota,OTHER
NCT02880540,LEAD,Janelle Vaughns,OTHER
NCT00677391,LEAD,Abbott,INDUSTRY
NCT00221442,LEAD,Lindner Center of HOPE,OTHER
NCT00221442,COLLABORATOR,Eisai Inc.,INDUSTRY
NCT00221442,COLLABORATOR,University of Cincinnati,OTHER
NCT06379113,LEAD,Xiaojun Chen,OTHER
NCT00391196,LEAD,Pfizer,INDUSTRY
NCT00554216,LEAD,VIVUS LLC,INDUSTRY
NCT00554216,COLLABORATOR,"Medpace, Inc.",INDUSTRY
NCT05040971,LEAD,Novo Nordisk A/S,INDUSTRY
NCT07369011,LEAD,Eli Lilly and Company,INDUSTRY
NCT03850314,LEAD,Prof. Tony hayek MD,OTHER
NCT06893016,LEAD,"Guangdong Raynovent Biotech Co., Ltd",INDUSTRY
NCT04885634,LEAD,Axel Brandes,OTHER
NCT04885634,COLLABORATOR,Herlev and Gentofte Hospital,OTHER
NCT04885634,COLLABORATOR,"Hillerod Hospital, Denmark",OTHER
NCT04885634,COLLABORATOR,Svendborg Hospital,OTHER
